,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
6051,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Clare,105
6052,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Donegal,96
6053,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Galway,189
6054,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Kerry,83
6055,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Kildare,239
6056,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Kilkenny,60
6057,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Laois,73
6058,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Leitrim,19
6059,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Longford,11
6060,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Louth,110
6061,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Mayo,117
6062,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Meath,176
6063,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Monaghan,14
6064,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Offaly,66
6065,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Roscommon,36
6066,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Sligo,38
6067,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Westmeath,126
6068,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Wexford,107
6069,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Wicklow,121
6070,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Limerick,210
6071,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Waterford,143
6072,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Tipperary,110
6073,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Cork,441
6074,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dacia,All bands,Dublin,849
