"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Leitrim","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Longford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Louth","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Mayo","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Meath","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Monaghan","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Offaly","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Roscommon","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Sligo","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Westmeath","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Wexford","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Wicklow","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Limerick","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Waterford","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Tipperary","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Cork","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Chrysler","All bands","Dublin","Number","19"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","All licensing authorities","Number","3801"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Carlow","Number","58"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Cavan","Number","50"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Clare","Number","105"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Donegal","Number","164"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Galway","Number","187"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Kerry","Number","117"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Kildare","Number","232"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Kilkenny","Number","64"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Laois","Number","61"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Leitrim","Number","31"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Longford","Number","24"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Louth","Number","115"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Mayo","Number","131"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Meath","Number","160"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Monaghan","Number","45"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Offaly","Number","88"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Roscommon","Number","62"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Sligo","Number","49"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Westmeath","Number","86"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Wexford","Number","146"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Wicklow","Number","74"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Limerick","Number","80"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Waterford","Number","268"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Tipperary","Number","131"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Cork","Number","309"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Citroen","All bands","Dublin","Number","964"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","All licensing authorities","Number","3696"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Carlow","Number","87"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Cavan","Number","35"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Clare","Number","105"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Donegal","Number","101"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Galway","Number","191"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Kerry","Number","88"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Kildare","Number","240"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Kilkenny","Number","61"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Laois","Number","74"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Leitrim","Number","19"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Longford","Number","11"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Louth","Number","111"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Mayo","Number","118"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Meath","Number","177"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Monaghan","Number","17"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Offaly","Number","66"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Roscommon","Number","36"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Sligo","Number","39"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Westmeath","Number","126"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Wexford","Number","108"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Wicklow","Number","121"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Limerick","Number","210"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Waterford","Number","143"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Tipperary","Number","112"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Cork","Number","443"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Dacia","All bands","Dublin","Number","857"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","All licensing authorities","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Carlow","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Cavan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Clare","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Donegal","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Galway","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Kerry","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Daewoo","All bands","Kildare","Number","0"
