Year,Statistic,Engine Capacity cc,Car Make,Emission Band,county,car_count
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Leitrim,19
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Longford,11
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Louth,110
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Mayo,117
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Meath,176
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Monaghan,14
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Offaly,66
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Roscommon,36
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Sligo,38
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Westmeath,126
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Wexford,107
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Wicklow,121
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Limerick,210
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Waterford,143
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Tipperary,110
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Cork,441
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dacia,All bands,Dublin,849
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Kildare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Meath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Monaghan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Wexford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Wicklow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Limerick,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Cork,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daewoo,All bands,Dublin,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Kildare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Meath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Monaghan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Wexford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Wicklow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Limerick,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Cork,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Dublin,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Kildare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Meath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Monaghan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Wexford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Wicklow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Limerick,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Cork,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Dodge,All bands,Dublin,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Fiat,All bands,Carlow,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Fiat,All bands,Cavan,5
2015,New Private Cars,All engine capacities with respect to private cars (cc),Fiat,All bands,Clare,4
2015,New Private Cars,All engine capacities with respect to private cars (cc),Fiat,All bands,Donegal,21
2015,New Private Cars,All engine capacities with respect to private cars (cc),Fiat,All bands,Galway,5
