,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13263,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Kerry,Number,13.0
13264,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Kildare,Number,32.0
13265,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Kilkenny,Number,11.0
13266,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Laois,Number,6.0
13267,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Leitrim,Number,2.0
13268,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Longford,Number,1.0
13269,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Louth,Number,13.0
13270,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Mayo,Number,5.0
13271,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Meath,Number,21.0
13272,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Monaghan,Number,5.0
13273,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Offaly,Number,8.0
13274,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Roscommon,Number,4.0
13275,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Sligo,Number,7.0
13276,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Westmeath,Number,12.0
13277,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Wexford,Number,25.0
13278,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Wicklow,Number,11.0
13279,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Limerick,Number,19.0
13280,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Waterford,Number,18.0
13281,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  E,Tipperary,Number,11.0
